Timestamp,Sender,Recipient,Subject,SizeBytes,Status
2026-09-14T10:00:00,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:02,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:04,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:06,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:08,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:10,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:12,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:14,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:16,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:18,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:20,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:22,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:24,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:26,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:28,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:30,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:32,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:34,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:36,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:38,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:40,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:42,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:44,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:46,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:48,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:50,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:52,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
2026-09-14T10:00:54,bulk-sender@example.invalid,lab3_target@example.invalid,[TRAINING] Thong bao lap lai,12000,accepted
