Timestamp,SourceIP,DestinationIP,DestinationPort,Event,Bytes
2026-09-14T10:00:00.000,198.51.100.25,192.0.2.200,8080,GET,743
2026-09-14T10:00:00.125,198.51.100.23,192.0.2.200,8080,SYN,418
2026-09-14T10:00:00.250,198.51.100.21,192.0.2.200,8080,SYN,618
2026-09-14T10:00:00.375,198.51.100.21,192.0.2.200,8080,SYN,433
2026-09-14T10:00:00.500,192.0.2.15,192.0.2.200,8080,GET,291
2026-09-14T10:00:00.625,192.0.2.13,192.0.2.200,8080,SYN,573
2026-09-14T10:00:00.750,198.51.100.23,192.0.2.200,8080,GET,543
2026-09-14T10:00:00.875,203.0.113.30,192.0.2.200,8080,SYN,534
2026-09-14T10:00:01.000,192.0.2.12,192.0.2.200,8080,SYN,579
2026-09-14T10:00:01.125,198.51.100.22,192.0.2.200,8080,SYN,618
2026-09-14T10:00:01.250,198.51.100.24,192.0.2.200,8080,SYN,685
2026-09-14T10:00:01.375,192.0.2.14,192.0.2.200,8080,GET,121
2026-09-14T10:00:01.500,198.51.100.24,192.0.2.200,8080,SYN,550
2026-09-14T10:00:01.625,203.0.113.30,192.0.2.200,8080,SYN,160
2026-09-14T10:00:01.750,203.0.113.31,192.0.2.200,8080,GET,522
2026-09-14T10:00:01.875,198.51.100.21,192.0.2.200,8080,GET,126
2026-09-14T10:00:02.000,198.51.100.20,192.0.2.200,8080,GET,602
2026-09-14T10:00:02.125,192.0.2.13,192.0.2.200,8080,SYN,71
2026-09-14T10:00:02.250,198.51.100.24,192.0.2.200,8080,SYN,754
2026-09-14T10:00:02.375,203.0.113.35,192.0.2.200,8080,SYN,779
2026-09-14T10:00:02.500,198.51.100.20,192.0.2.200,8080,GET,343
2026-09-14T10:00:02.625,198.51.100.23,192.0.2.200,8080,GET,784
2026-09-14T10:00:02.750,192.0.2.14,192.0.2.200,8080,GET,208
2026-09-14T10:00:02.875,192.0.2.11,192.0.2.200,8080,GET,309
2026-09-14T10:00:03.000,198.51.100.20,192.0.2.200,8080,GET,484
2026-09-14T10:00:03.125,198.51.100.22,192.0.2.200,8080,GET,701
2026-09-14T10:00:03.250,203.0.113.31,192.0.2.200,8080,GET,331
2026-09-14T10:00:03.375,203.0.113.33,192.0.2.200,8080,GET,188
2026-09-14T10:00:03.500,192.0.2.14,192.0.2.200,8080,SYN,536
2026-09-14T10:00:03.625,203.0.113.33,192.0.2.200,8080,GET,177
2026-09-14T10:00:03.750,203.0.113.33,192.0.2.200,8080,GET,85
2026-09-14T10:00:03.875,192.0.2.12,192.0.2.200,8080,SYN,765
2026-09-14T10:00:04.000,198.51.100.25,192.0.2.200,8080,GET,166
2026-09-14T10:00:04.125,203.0.113.32,192.0.2.200,8080,GET,604
2026-09-14T10:00:04.250,203.0.113.35,192.0.2.200,8080,SYN,693
2026-09-14T10:00:04.375,192.0.2.16,192.0.2.200,8080,GET,389
2026-09-14T10:00:04.500,192.0.2.12,192.0.2.200,8080,SYN,697
2026-09-14T10:00:04.625,192.0.2.12,192.0.2.200,8080,GET,635
2026-09-14T10:00:04.750,198.51.100.24,192.0.2.200,8080,SYN,441
2026-09-14T10:00:04.875,192.0.2.16,192.0.2.200,8080,SYN,622
2026-09-14T10:00:05.000,192.0.2.11,192.0.2.200,8080,SYN,654
2026-09-14T10:00:05.125,203.0.113.33,192.0.2.200,8080,GET,423
2026-09-14T10:00:05.250,203.0.113.33,192.0.2.200,8080,GET,249
2026-09-14T10:00:05.375,192.0.2.17,192.0.2.200,8080,SYN,372
2026-09-14T10:00:05.500,198.51.100.25,192.0.2.200,8080,SYN,96
2026-09-14T10:00:05.625,198.51.100.20,192.0.2.200,8080,GET,384
2026-09-14T10:00:05.750,203.0.113.31,192.0.2.200,8080,SYN,787
2026-09-14T10:00:05.875,203.0.113.33,192.0.2.200,8080,SYN,479
2026-09-14T10:00:06.000,203.0.113.33,192.0.2.200,8080,GET,238
2026-09-14T10:00:06.125,192.0.2.12,192.0.2.200,8080,GET,721
2026-09-14T10:00:06.250,198.51.100.24,192.0.2.200,8080,SYN,611
2026-09-14T10:00:06.375,192.0.2.14,192.0.2.200,8080,SYN,340
2026-09-14T10:00:06.500,192.0.2.15,192.0.2.200,8080,SYN,535
2026-09-14T10:00:06.625,192.0.2.13,192.0.2.200,8080,GET,503
2026-09-14T10:00:06.750,192.0.2.12,192.0.2.200,8080,GET,268
2026-09-14T10:00:06.875,198.51.100.25,192.0.2.200,8080,GET,706
2026-09-14T10:00:07.000,198.51.100.25,192.0.2.200,8080,GET,618
2026-09-14T10:00:07.125,192.0.2.16,192.0.2.200,8080,GET,462
2026-09-14T10:00:07.250,192.0.2.11,192.0.2.200,8080,GET,592
2026-09-14T10:00:07.375,198.51.100.24,192.0.2.200,8080,GET,211
2026-09-14T10:00:07.500,192.0.2.16,192.0.2.200,8080,SYN,423
2026-09-14T10:00:07.625,192.0.2.12,192.0.2.200,8080,SYN,648
2026-09-14T10:00:07.750,192.0.2.11,192.0.2.200,8080,GET,331
2026-09-14T10:00:07.875,203.0.113.34,192.0.2.200,8080,GET,548
2026-09-14T10:00:08.000,198.51.100.21,192.0.2.200,8080,GET,624
2026-09-14T10:00:08.125,192.0.2.17,192.0.2.200,8080,GET,281
2026-09-14T10:00:08.250,198.51.100.22,192.0.2.200,8080,GET,115
2026-09-14T10:00:08.375,198.51.100.25,192.0.2.200,8080,GET,321
2026-09-14T10:00:08.500,192.0.2.14,192.0.2.200,8080,SYN,251
2026-09-14T10:00:08.625,203.0.113.30,192.0.2.200,8080,GET,441
2026-09-14T10:00:08.750,203.0.113.35,192.0.2.200,8080,SYN,414
2026-09-14T10:00:08.875,203.0.113.30,192.0.2.200,8080,GET,432
2026-09-14T10:00:09.000,198.51.100.21,192.0.2.200,8080,SYN,223
2026-09-14T10:00:09.125,203.0.113.31,192.0.2.200,8080,GET,151
2026-09-14T10:00:09.250,192.0.2.16,192.0.2.200,8080,SYN,295
2026-09-14T10:00:09.375,203.0.113.33,192.0.2.200,8080,GET,91
2026-09-14T10:00:09.500,198.51.100.24,192.0.2.200,8080,GET,440
2026-09-14T10:00:09.625,203.0.113.30,192.0.2.200,8080,SYN,558
2026-09-14T10:00:09.750,198.51.100.25,192.0.2.200,8080,GET,520
2026-09-14T10:00:09.875,192.0.2.17,192.0.2.200,8080,GET,490
2026-09-14T10:00:10.000,192.0.2.17,192.0.2.200,8080,GET,478
2026-09-14T10:00:10.125,192.0.2.15,192.0.2.200,8080,SYN,481
2026-09-14T10:00:10.250,198.51.100.22,192.0.2.200,8080,GET,130
2026-09-14T10:00:10.375,203.0.113.34,192.0.2.200,8080,SYN,634
2026-09-14T10:00:10.500,198.51.100.21,192.0.2.200,8080,SYN,284
2026-09-14T10:00:10.625,198.51.100.25,192.0.2.200,8080,SYN,371
2026-09-14T10:00:10.750,192.0.2.16,192.0.2.200,8080,GET,692
2026-09-14T10:00:10.875,192.0.2.13,192.0.2.200,8080,GET,632
2026-09-14T10:00:11.000,198.51.100.22,192.0.2.200,8080,GET,253
2026-09-14T10:00:11.125,192.0.2.15,192.0.2.200,8080,SYN,582
2026-09-14T10:00:11.250,192.0.2.16,192.0.2.200,8080,SYN,378
2026-09-14T10:00:11.375,192.0.2.11,192.0.2.200,8080,SYN,69
2026-09-14T10:00:11.500,203.0.113.30,192.0.2.200,8080,SYN,581
2026-09-14T10:00:11.625,192.0.2.12,192.0.2.200,8080,SYN,139
2026-09-14T10:00:11.750,203.0.113.35,192.0.2.200,8080,SYN,444
2026-09-14T10:00:11.875,192.0.2.15,192.0.2.200,8080,SYN,797
